"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"COAL-AREA";"COAL-ID";"COAL-NAME";"Coal01";"IDRAIL";"DIST-RAIL";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y"
"AR24411";"shuja";"RUS18";"Russie";56.85;41.36666667;"O";0;0;1778;"3A2";;0;0;0;0;3529;1323.720053;64.6;68.8;72.3;69.4;62.449;58.528
"AR34405";"buj";"RUS30";"Russie";58.48333333;41.53333333;"O";0;0;1778;;;0;0;0;0;2485;1715.689386;27.2;29.2;28.3;32.7;27.392;25.763
"AR17242501";"melenki";"RUS75";"Russie";55.33333333;41.63333333;"O";0;0;1778;;;0;0;0;0;4823;3192.67097;17.5;18.5;18.1;18.3;16.344;15.208
"AR17435";"murom";"RUS75";"Russie";55.56666667;42.03333333;"O";0;0;1778;"3A2";;0;0;0;0;4597;119.0225036;88.791;124.007;145.98;161.688;144.711;132.491
"AR17215501";"gorohovec";"RUS75";"Russie";56.2;42.7;"O";0;0;1778;;;0;0;0;0;4126;106.432276;;14;15;15.8;14.524;14.015
"AR22239501";"lukojanov";"RUS42";"Russie";55.03333333;44.48333333;"O";0;0;1778;;;0;0;0;0;5015;474.8991681;;10.2;11.4;12.3;12.856;14.949
"AR61217501";"mihajlov";"RUS56";"Russie";54.23333333;39.03333333;"O";0;0;1778;;;108000000000;122;"Podmoscovny basin";1;5612;634.8542002;13.529;14.2;14.2;15.3;13.295;11.783
"AR61230501";"rjazhsk";"RUS56";"Russie";53.71666667;40.06666667;"O";0;0;1778;;;108000000000;122;"Podmoscovny basin";1;6278;2366.596651;14.754;25.4;25.3;27.2;22.85;21.676
"AR38410";"ljgov";"RUS32";"Russie";51.66666667;35.26666667;"O";0;0;1779;;;0;0;0;0;9087;2716.655286;21.3;25.1;26.5;25.6;23.783;21.452
"AR38415";"schigry";"RUS32";"Russie";51.86666667;36.93333333;"O";0;0;1779;;;0;0;0;0;8768;1676.542264;11.4;17.1;20.6;21.2;19.582;17.043
"AR14244501";"novyjoskol";"RUS08";"Russie";50.76666667;37.86666667;"O";0;0;1779;;;0;0;0;0;11824;1780.302467;12.9;15.9;17.9;20.1;20.892;19.53
"AR20231501";"ostrogozhsk";"RUS78";"Russie";50.86666667;39.06666667;"O";0;0;1779;;;0;0;0;0;11823;4057.535638;28.4;29.9;34;34.5;34.585;33.842
"AR42401";"Lipetsk";"RUS36";"Russie";52.61666667;39.6;"O";1;0;1779;"1B2";;0;0;0;0;7623;2206.814718;206.987;349.752;460.49;530.442;553.592;554.922
"AR42248501";"usmanj";"RUS36";"Russie";52.05;39.73333333;"O";0;0;1779;;;0;0;0;0;8721;3361.798285;11.9;20.2;20.1;20.9;20.133;18.752
"AR20204501";"bobrov";"RUS78";"Russie";51.08333333;40.03333333;"O";0;0;1779;;;0;0;0;0;10230;538.6589363;17.848;18;21.4;21.3;20.806;19.738
