"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"ABE03114";"Orsha";"BEL00";"Belarus";54,52;30,41;"O";0;0;;"3A2";;71.087;110.984;122.263;136.684;137.118;128.827;
"AR98401";"Iakoutsk";"RUS15";"Russie";62,03333333;129,7333333;"E";1;1;;"1B4";;74.3;111.349;158.528;198.71;226.429;269.486;
"AR05414";"Nakhodka";"RUS53";"Russie";42,81666667;132,8666667;"E";0;0;;"4A";;69.48;111.575;150.697;185.233;177.133;159.695;
"AR64401";"Ioujno-Sakhalinsk";"RUS58";"Russie";46,95;142,7333333;"E";1;1;;"1B4";;89.891;111.911;147.909;159.3;175.085;181.727;
"AUA22112";"Khmelnitskii";"UKR24";"Ukraine";49,42;27;"O";1;0;;"1B4";;62.473;112.959;171.801;236.938;253.973;261.397;
"AUA17110";"Rivne";"UKR19";"Ukraine";50,62;26,25;"O";1;0;;"1B3";;59.598;115.541;178.956;227.925;248.642;249.582;
"AR87410";"Vorkouta";"RUS29";"Russie";67,5;64,03333333;"O";0;0;;"3B2";;70.875;116.801;135.86;160.897;116.045;91.631;
"AR60430";"novoshahtsk";"RUS55";"Russie";47,76666667;39,91666667;"O";0;0;;"3B1";;118.009;117.242;119.12;121.842;116.017;111.087;
"AR79401";"majkop";"RUS01";"Russie";44,6;40,08333333;"O";1;1;;"1B3";;86.806;117.277;135.824;158.138;167.433;154.978;
"AR32425";"mezhdurechk";"RUS25";"Russie";53,68333333;88,05;"E";0;0;;"3C";;86.7;117.9;131.8;153;146.422;145.024;
"AR46204501";"balashiha";"RUS40";"Russie";55,8;37,95;"O";0;0;;"3A2";;94.744;118.467;137.817;151.591;171.157;215.353;
"AR46457";"orehovozuev";"RUS40";"Russie";55,8;38,96666667;"O";0;0;;"3A1";;108.3;120.1;132.3;137.2;122.248;120.62;
"AKI05101";"Osh";"KIR00";"Kirghizstan";40,53;72,79;"E";1;0;;"1B3";;65.197;120.374;169;211.045;201.183;234.552;
"AR18415";"kamyshin";"RUS76";"Russie";50,08333333;45,4;"O";0;0;;"3A2";;76.2;120.9;139.5;152.8;158.737;148.269;
"ABE02103";"Brest";"BEL00";"Belarus";52,1;23,7;"O";1;0;;"1B4";;73.614;121.629;177.249;258.016;229.712;312.779;
"AR17425";"kovrov";"RUS75";"Russie";56,35;41,31666667;"O";0;0;;"3A1";;98.6;123.3;142.9;159.9;155.499;145.492;
"AUA13111";"Drogobitch";"UKR15";"Ukraine";49,35;23,5;"O";0;0;;;;83.404;123.753;150.065;173.136;168.674;164.097;
"AR17435";"murom";"RUS75";"Russie";55,56666667;42,03333333;"O";0;0;;"3A2";;88.791;124.007;145.98;161.688;144.711;132.491;
"AR46470";"serpuhov";"RUS40";"Russie";54,91666667;37,4;"O";0;0;;"3A1";;106.4;124.3;139.7;143.6;131.097;126.496;
"AR87401";"Syktyvkar";"RUS29";"Russie";61,66666667;50,81666667;"O";1;0;;"1B3";;64.5;125.1;171;232.1;230.011;235.006;
"AR24405";"kineshma";"RUS18";"Russie";57,45;42,15;"O";0;0;;"3A2";;116.5;125.8;131.2;133.9;119.936;110.365;
"AR58401";"Pskov";"RUS54";"Russie";57,81666667;28,33333333;"O";1;0;;"1B3";;81.3;126.7;175.7;203.8;202.78;203.281;
"AAZ03101";"Sumqayit";"AZE00";"Azerbaidjan";40,59;49,67;"O";0;1;;"3A1";;51.485;127.268;195.844;239.824;274.76;299.6;
"AUA01109";"Kertch";"UKR01";"Ukraine";45,36;36,47;"O";0;0;;"3B1";;98.769;127.608;156.827;174.365;156.148;147.269;
"AR10401";"Blagoveschensk";"RUS04";"Russie";50,28333333;127,5333333;"E";1;0;;"1B3";;94.7;127.8;172;205.6;219.221;214.397;
"AR05423";"ussurijsk";"RUS53";"Russie";43,8;131,95;"E";0;0;;"2A";;104.3;128.2;146.8;158;157.759;157.946;
"AKA11104";"Kyzylorda";"KAZ11";"Kazakhstan";44,85;65,51;"E";1;0;;"1B4";;69.141;131.186;168.505;167.16;175.011;207.557;
"AUZ08104";"Nukus";"OUZ00";"Ouzbekistan";42,45;59,61;"E";1;0;;"1B5";;67.415;131.968;190.131;287.708;375.781;443.835;
"AR49401";"Veliki Novgorod";"RUS43";"Russie";58,51666667;31,28333333;"O";1;0;;"1B3";;62.909;132.279;196.3;243.015;233.32;228.336;
"ABE05104";"Grodna";"BEL00";"Belarus";53,68;23,81;"O";1;0;;"1B3";;72.943;132.471;194.775;270.535;309.452;332.87;
"AR03420";"novrossijsk";"RUS33";"Russie";44,71666667;37,76666667;"O";0;0;;"3A1";;93.5;132.7;159.1;185.9;232.079;241.788;
"AUZ03103";"Kokand";"OUZ00";"Ouzbekistan";40,53;70,94;"E";0;1;;"2A";;105.082;133.131;152.776;182.073;199.354;210.794;
"AKA07102";"Oral";"KAZ07";"Kazakhstan";51,23;51,37;"E";1;1;;"1B3";;103.914;134.162;177.716;211.925;211.465;229.226;
"AUA12113";"Krasnii Loutch";"UKR14";"Ukraine";48,13;38,93;"O";0;0;;"3B1";;132.232;134.754;133.179;139.268;114.442;102.276;
"AR46438";"kolomna";"RUS40";"Russie";55,08333333;38,78333333;"O";0;0;;"3B1";;117.785;135.9;147.3;161.9;167.635;162.854;
"AKA10103";"Kostanai";"KAZ10";"Kazakhstan";53,17;63,58;"E";1;1;;"1B3";;91.06;136.372;181.236;244.872;230.436;237.869;
"AKA06101";"Atyrau/guriev";"KAZ06";"Kazakhstan";47,12;51,88;"E";1;1;;"1B3";;94.941;136.674;153.533;166.146;159.901;178.341;
"AUA08109";"Melitopol";"UKR09";"Ukraine";46,84;35,37;"O";0;0;;"3A1";;94.67;136.86;160.664;173.385;160.37;157.626;
"ABE06102";"Babrouisk";"BEL00";"Belarus";53,15;29,23;"O";0;0;;"3A1";;97.53;137.536;192.207;221.166;220.76;215.378;
"ALI03102";"Klaipida";"LIT00";"Lithuanie";55,72;21,12;"O";1;1;;"3A1";;89.923;140.012;175.834;204.248;191.899;182.752;
"ATA05101";"Khoutchand / leninabad";"TAD00";"Tadjikistan";40,28;69,63;"E";1;1;;"3A1";;109.532;144.305;178.126;213.105;207.827;205;
"AR11430";"severodvinsk";"RUS05";"Russie";64,56666667;39,81666667;"O";0;0;;"3A1";;78.7;144.7;197.2;248.7;201.551;192.265;
"AR01416";"rubcovsk";"RUS02";"Russie";51,51666667;81,2;"E";0;0;;"3A1";;111.4;145;157.1;171.8;163.063;147.008;
"AR03405";"Armavir";"RUS33";"Russie";45;41,11666667;"O";0;1;;"3A1";;111;145.4;161.5;161;193.964;188.897;
"AUZ02101";"Bukhara";"OUZ00";"Ouzbekistan";39,77;64,43;"E";1;1;;"1B3";;90.357;145.717;226.525;283.588;314.76;340.033;
"AR04429";"Norilsk";"RUS34";"Russie";69,33333333;88,21666667;"E";0;0;;"3B1";;114.567;149.534;231.823;265.43;220.602;175.301;
"AKA04101";"Aktobe";"KAZ02";"Kazakhstan";50,3;57,18;"E";1;0;;"1B3";;96.68;149.914;190.569;253.532;251.085;345.687;
"AR14401";"Belgorod";"RUS08";"Russie";50,6;36,6;"O";1;0;;"1B3";;72.3;151.3;245.785;311.127;352.362;373.025;
"AR57408";"Berezniki";"RUS52";"Russie";59,41666667;56,78333333;"E";0;0;;"3B1";;117.9;155.7;193.3;207.7;179.221;162.206;
"AUA12102";"Altchevsk / kommunarsk";"UKR14";"Ukraine";48,47;38,8;"O";0;0;;"3B1";;129.946;156.026;152.76;157.491;148.033;140.287;
